record_id,date,shift,production_line,product,production_quantity,defective_units,scrap_units,downtime_minutes,defect_category,downtime_reason,good_units,defect_rate,scrap_rate
1,2025-01-01,Morning,Line A,Product Beta,1449,19,4,24.69,Surface Defect,Changeover,1426,0.0131,0.0028
2,2025-01-01,Afternoon,Line A,Product Beta,1381,77,23,71.99,Coating Defect,Quality Issue,1281,0.0558,0.0167
3,2025-01-01,Night,Line A,Product Delta,1380,18,2,79.26,Assembly Error,Changeover,1360,0.013,0.0014
4,2025-01-01,Morning,Line B,Product Delta,1230,47,6,78.73,Surface Defect,Quality Issue,1177,0.0382,0.0049
5,2025-01-01,Afternoon,Line B,Product Delta,1244,14,1,48.3,Assembly Error,Maintenance,1229,0.0113,0.0008
6,2025-01-01,Night,Line B,Product Gamma,1154,46,11,61.35,Assembly Error,Changeover,1097,0.0399,0.0095
7,2025-01-01,Morning,Line C,Product Delta,1061,20,4,17.53,Coating Defect,Quality Issue,1037,0.0189,0.0038
8,2025-01-01,Afternoon,Line C,Product Beta,1080,21,3,9.43,Dimensional Error,,1056,0.0194,0.0028
9,2025-01-01,Night,Line C,Product Gamma,1103,67,8,73.35,Dimensional Error,Material Shortage,1028,0.0607,0.0073
10,2025-01-02,Morning,Line A,Product Delta,1427,88,9,77.11,Dimensional Error,Maintenance,1330,0.0617,0.0063
11,2025-01-02,Afternoon,Line A,Product Alpha,1415,21,4,16.8,Coating Defect,Maintenance,1390,0.0148,0.0028
12,2025-01-02,Night,Line A,Product Delta,1361,27,4,60.07,Assembly Error,Maintenance,1330,0.0198,0.0029
13,2025-01-02,Morning,Line B,Product Gamma,1349,41,5,17.47,Coating Defect,Quality Issue,1303,0.0304,0.0037
14,2025-01-02,Afternoon,Line B,Product Alpha,1237,61,11,11.42,Assembly Error,,1165,0.0493,0.0089
15,2025-01-02,Night,Line B,Product Beta,1261,66,8,36.99,Dimensional Error,Quality Issue,1187,0.0523,0.0063
16,2025-01-02,Morning,Line C,Product Beta,1207,23,3,47.75,Dimensional Error,Mechanical Failure,1181,0.0191,0.0025
17,2025-01-02,Afternoon,Line C,Product Gamma,1127,32,6,27.11,Coating Defect,Changeover,1089,0.0284,0.0053
18,2025-01-02,Night,Line C,Product Delta,1053,22,4,39.37,Surface Defect,Quality Issue,1027,0.0209,0.0038
19,2025-01-03,Morning,Line A,Product Beta,1574,62,18,9.9,Coating Defect,,1494,0.0394,0.0114
20,2025-01-03,Afternoon,Line A,Product Delta,1450,88,26,61.07,Dimensional Error,Changeover,1336,0.0607,0.0179
21,2025-01-03,Night,Line A,Product Delta,1396,15,2,42.46,Assembly Error,Mechanical Failure,1379,0.0107,0.0014
22,2025-01-03,Morning,Line B,Product Beta,1301,32,7,58.1,Dimensional Error,Maintenance,1262,0.0246,0.0054
23,2025-01-03,Afternoon,Line B,Product Delta,1251,12,3,62.86,Coating Defect,Changeover,1236,0.0096,0.0024
24,2025-01-03,Night,Line B,Product Alpha,1264,78,17,66.86,Coating Defect,Maintenance,1169,0.0617,0.0134
25,2025-01-03,Morning,Line C,Product Beta,1088,53,5,78.54,Dimensional Error,Changeover,1030,0.0487,0.0046
26,2025-01-03,Afternoon,Line C,Product Alpha,1113,11,2,52.22,Surface Defect,Mechanical Failure,1100,0.0099,0.0018
27,2025-01-03,Night,Line C,Product Delta,990,23,5,40.26,Coating Defect,Changeover,962,0.0232,0.0051
28,2025-01-04,Morning,Line A,Product Delta,1469,68,10,76.66,Coating Defect,Maintenance,1391,0.0463,0.0068
29,2025-01-04,Afternoon,Line A,Product Alpha,1495,60,8,19.04,Surface Defect,Material Shortage,1427,0.0401,0.0054
30,2025-01-04,Night,Line A,Product Beta,1352,69,15,70.05,Coating Defect,Changeover,1268,0.051,0.0111
31,2025-01-04,Morning,Line B,Product Gamma,1261,61,12,64.52,Dimensional Error,Quality Issue,1188,0.0484,0.0095
32,2025-01-04,Afternoon,Line B,Product Gamma,1333,69,19,20.15,Coating Defect,Maintenance,1245,0.0518,0.0143
33,2025-01-04,Night,Line B,Product Alpha,1087,35,3,70.11,Dimensional Error,Quality Issue,1049,0.0322,0.0028
34,2025-01-04,Morning,Line C,Product Gamma,1164,48,5,45.48,Assembly Error,Mechanical Failure,1111,0.0412,0.0043
35,2025-01-04,Afternoon,Line C,Product Alpha,1038,55,16,65.53,Surface Defect,Maintenance,967,0.053,0.0154
36,2025-01-04,Night,Line C,Product Gamma,1100,62,17,14.85,Assembly Error,,1021,0.0564,0.0155
37,2025-01-05,Morning,Line A,Product Delta,1515,60,17,65.14,Dimensional Error,Maintenance,1438,0.0396,0.0112
38,2025-01-05,Afternoon,Line A,Product Alpha,1403,50,11,26.05,Dimensional Error,Mechanical Failure,1342,0.0356,0.0078
39,2025-01-05,Night,Line A,Product Alpha,1416,65,8,25.27,Assembly Error,Quality Issue,1343,0.0459,0.0056
40,2025-01-05,Morning,Line B,Product Delta,1269,40,4,15.9,Dimensional Error,Changeover,1225,0.0315,0.0032
41,2025-01-05,Afternoon,Line B,Product Alpha,1267,36,9,30.17,Assembly Error,Maintenance,1222,0.0284,0.0071
42,2025-01-05,Night,Line B,Product Beta,1094,61,7,31.04,Assembly Error,Quality Issue,1026,0.0558,0.0064
43,2025-01-05,Morning,Line C,Product Delta,1126,12,3,40.76,Surface Defect,Maintenance,1111,0.0107,0.0027
44,2025-01-05,Afternoon,Line C,Product Delta,1026,50,7,27.42,Coating Defect,Mechanical Failure,969,0.0487,0.0068
45,2025-01-05,Night,Line C,Product Alpha,1092,20,3,63.28,Dimensional Error,Quality Issue,1069,0.0183,0.0027
46,2025-01-06,Morning,Line A,Product Alpha,1540,50,10,61.64,Surface Defect,Changeover,1480,0.0325,0.0065
47,2025-01-06,Afternoon,Line A,Product Delta,1479,93,12,36.81,Coating Defect,Material Shortage,1374,0.0629,0.0081
48,2025-01-06,Night,Line A,Product Delta,1440,87,20,56.6,Dimensional Error,Material Shortage,1333,0.0604,0.0139
49,2025-01-06,Morning,Line B,Product Gamma,1336,51,5,13.82,Assembly Error,,1280,0.0382,0.0037
