record_id,date,shift,production_line,product,production_quantity,defective_units,scrap_units,downtime_minutes,defect_category,downtime_reason
1,2025-01-01,Morning,Line A,Product Beta,1449,19,4,24.69,Surface Defect,Changeover
2,2025-01-01,Afternoon,Line A,Product Beta,1381,77,23,71.99,Coating Defect,Quality Issue
3,2025-01-01,Night,Line A,Product Delta,1380,18,2,79.26,Assembly Error,Changeover
4,2025-01-01,Morning,Line B,Product Delta,1230,47,6,78.73,Surface Defect,Quality Issue
5,2025-01-01,Afternoon,Line B,Product Delta,1244,14,1,48.3,Assembly Error,Maintenance
6,2025-01-01,Night,Line B,Product Gamma,1154,46,11,61.35,Assembly Error,Changeover
7,2025-01-01,Morning,Line C,Product Delta,1061,20,4,17.53,Coating Defect,Quality Issue
8,2025-01-01,Afternoon,Line C,Product Beta,1080,21,3,9.43,Dimensional Error,None
9,2025-01-01,Night,Line C,Product Gamma,1103,67,8,73.35,Dimensional Error,Material Shortage
10,2025-01-02,Morning,Line A,Product Delta,1427,88,9,77.11,Dimensional Error,Maintenance
11,2025-01-02,Afternoon,Line A,Product Alpha,1415,21,4,16.8,Coating Defect,Maintenance
12,2025-01-02,Night,Line A,Product Delta,1361,27,4,60.07,Assembly Error,Maintenance
13,2025-01-02,Morning,Line B,Product Gamma,1349,41,5,17.47,Coating Defect,Quality Issue
14,2025-01-02,Afternoon,Line B,Product Alpha,1237,61,11,11.42,Assembly Error,None
15,2025-01-02,Night,Line B,Product Beta,1261,66,8,36.99,Dimensional Error,Quality Issue
16,2025-01-02,Morning,Line C,Product Beta,1207,23,3,47.75,Dimensional Error,Mechanical Failure
17,2025-01-02,Afternoon,Line C,Product Gamma,1127,32,6,27.11,Coating Defect,Changeover
18,2025-01-02,Night,Line C,Product Delta,1053,22,4,39.37,Surface Defect,Quality Issue
19,2025-01-03,Morning,Line A,Product Beta,1574,62,18,9.9,Coating Defect,None
20,2025-01-03,Afternoon,Line A,Product Delta,1450,88,26,61.07,Dimensional Error,Changeover
21,2025-01-03,Night,Line A,Product Delta,1396,15,2,42.46,Assembly Error,Mechanical Failure
22,2025-01-03,Morning,Line B,Product Beta,1301,32,7,58.1,Dimensional Error,Maintenance
23,2025-01-03,Afternoon,Line B,Product Delta,1251,12,3,62.86,Coating Defect,Changeover
24,2025-01-03,Night,Line B,Product Alpha,1264,78,17,66.86,Coating Defect,Maintenance
25,2025-01-03,Morning,Line C,Product Beta,1088,53,5,78.54,Dimensional Error,Changeover
26,2025-01-03,Afternoon,Line C,Product Alpha,1113,11,2,52.22,Surface Defect,Mechanical Failure
27,2025-01-03,Night,Line C,Product Delta,990,23,5,40.26,Coating Defect,Changeover
28,2025-01-04,Morning,Line A,Product Delta,1469,68,10,76.66,Coating Defect,Maintenance
29,2025-01-04,Afternoon,Line A,Product Alpha,1495,60,8,19.04,Surface Defect,Material Shortage
30,2025-01-04,Night,Line A,Product Beta,1352,69,15,70.05,Coating Defect,Changeover
31,2025-01-04,Morning,Line B,Product Gamma,1261,61,12,64.52,Dimensional Error,Quality Issue
32,2025-01-04,Afternoon,Line B,Product Gamma,1333,69,19,20.15,Coating Defect,Maintenance
33,2025-01-04,Night,Line B,Product Alpha,1087,35,3,70.11,Dimensional Error,Quality Issue
34,2025-01-04,Morning,Line C,Product Gamma,1164,48,5,45.48,Assembly Error,Mechanical Failure
35,2025-01-04,Afternoon,Line C,Product Alpha,1038,55,16,65.53,Surface Defect,Maintenance
36,2025-01-04,Night,Line C,Product Gamma,1100,62,17,14.85,Assembly Error,None
37,2025-01-05,Morning,Line A,Product Delta,1515,60,17,65.14,Dimensional Error,Maintenance
38,2025-01-05,Afternoon,Line A,Product Alpha,1403,50,11,26.05,Dimensional Error,Mechanical Failure
39,2025-01-05,Night,Line A,Product Alpha,1416,65,8,25.27,Assembly Error,Quality Issue
40,2025-01-05,Morning,Line B,Product Delta,1269,40,4,15.9,Dimensional Error,Changeover
41,2025-01-05,Afternoon,Line B,Product Alpha,1267,36,9,30.17,Assembly Error,Maintenance
42,2025-01-05,Night,Line B,Product Beta,1094,61,7,31.04,Assembly Error,Quality Issue
43,2025-01-05,Morning,Line C,Product Delta,1126,12,3,40.76,Surface Defect,Maintenance
44,2025-01-05,Afternoon,Line C,Product Delta,1026,50,7,27.42,Coating Defect,Mechanical Failure
45,2025-01-05,Night,Line C,Product Alpha,1092,20,3,63.28,Dimensional Error,Quality Issue
46,2025-01-06,Morning,Line A,Product Alpha,1540,50,10,61.64,Surface Defect,Changeover
47,2025-01-06,Afternoon,Line A,Product Delta,1479,93,12,36.81,Coating Defect,Material Shortage
48,2025-01-06,Night,Line A,Product Delta,1440,87,20,56.6,Dimensional Error,Material Shortage
49,2025-01-06,Morning,Line B,Product Gamma,1336,51,5,13.82,Assembly Error,None
50,2025-01-06,Afternoon,Line B,Product Alpha,1276,64,11,64.81,Surface Defect,Material Shortage
51,2025-01-06,Night,Line B,Product Alpha,1177,27,3,11.02,Assembly Error,None
52,2025-01-06,Morning,Line C,Product Beta,1107,38,7,70.26,Coating Defect,Quality Issue
53,2025-01-06,Afternoon,Line C,Product Alpha,1057,43,5,46.92,Dimensional Error,Material Shortage
54,2025-01-06,Night,Line C,Product Gamma,1123,35,9,82.64,Assembly Error,Material Shortage
55,2025-01-07,Morning,Line A,Product Gamma,1474,84,18,24.86,Dimensional Error,Quality Issue
56,2025-01-07,Afternoon,Line A,Product Delta,1422,21,5,67.79,Coating Defect,Maintenance
57,2025-01-07,Night,Line A,Product Delta,1305,69,12,34.9,Assembly Error,Maintenance
58,2025-01-07,Morning,Line B,Product Alpha,1250,52,6,19.22,Coating Defect,Mechanical Failure
59,2025-01-07,Afternoon,Line B,Product Alpha,1304,45,10,61.1,Surface Defect,Changeover
60,2025-01-07,Night,Line B,Product Delta,1216,67,10,36.74,Dimensional Error,Maintenance
61,2025-01-07,Morning,Line C,Product Beta,1081,64,9,31.88,Assembly Error,Maintenance
62,2025-01-07,Afternoon,Line C,Product Alpha,1063,47,8,13.18,Assembly Error,None
63,2025-01-07,Night,Line C,Product Delta,1038,34,9,37.5,Surface Defect,Changeover
64,2025-01-08,Morning,Line A,Product Delta,1492,28,8,30.54,Dimensional Error,Changeover
65,2025-01-08,Afternoon,Line A,Product Delta,1378,16,4,17.63,Coating Defect,Maintenance
66,2025-01-08,Night,Line A,Product Delta,1347,29,3,32.71,Dimensional Error,Mechanical Failure
67,2025-01-08,Morning,Line B,Product Alpha,1210,47,10,33.64,Assembly Error,Mechanical Failure
68,2025-01-08,Afternoon,Line B,Product Beta,1336,63,17,66.1,Coating Defect,Mechanical Failure
69,2025-01-08,Night,Line B,Product Alpha,1185,51,12,42.45,Coating Defect,Changeover
70,2025-01-08,Morning,Line C,Product Beta,1206,71,11,14.44,Assembly Error,None
71,2025-01-08,Afternoon,Line C,Product Delta,1169,49,10,33.18,Assembly Error,Maintenance
72,2025-01-08,Night,Line C,Product Beta,1079,29,5,60.4,Dimensional Error,Mechanical Failure
73,2025-01-09,Morning,Line A,Product Beta,1558,55,9,37.98,Coating Defect,Quality Issue
74,2025-01-09,Afternoon,Line A,Product Beta,1426,52,8,54.87,Coating Defect,Mechanical Failure
75,2025-01-09,Night,Line A,Product Gamma,1313,56,17,20.44,Assembly Error,Maintenance
76,2025-01-09,Morning,Line B,Product Gamma,1271,53,9,64.34,Surface Defect,Changeover
77,2025-01-09,Afternoon,Line B,Product Gamma,1324,11,2,16.48,Surface Defect,Maintenance
78,2025-01-09,Night,Line B,Product Delta,1251,27,7,25.68,Surface Defect,Mechanical Failure
79,2025-01-09,Morning,Line C,Product Delta,1173,39,7,18.97,Surface Defect,Material Shortage
80,2025-01-09,Afternoon,Line C,Product Delta,1143,66,20,31.82,Coating Defect,Maintenance
81,2025-01-09,Night,Line C,Product Alpha,1104,68,12,48.58,Dimensional Error,Material Shortage
82,2025-01-10,Morning,Line A,Product Alpha,1554,18,5,63.91,Coating Defect,Quality Issue
83,2025-01-10,Afternoon,Line A,Product Gamma,1447,76,14,47.66,Surface Defect,Quality Issue
84,2025-01-10,Night,Line A,Product Gamma,1423,37,10,64.56,Coating Defect,Changeover
85,2025-01-10,Morning,Line B,Product Delta,1263,65,9,20.65,Surface Defect,Material Shortage
86,2025-01-10,Afternoon,Line B,Product Alpha,1272,47,9,71.16,Dimensional Error,Mechanical Failure
87,2025-01-10,Night,Line B,Product Beta,1167,46,9,63.35,Coating Defect,Changeover
88,2025-01-10,Morning,Line C,Product Beta,1114,54,8,62.97,Dimensional Error,Changeover
89,2025-01-10,Afternoon,Line C,Product Gamma,1086,62,18,55.21,Surface Defect,Mechanical Failure
90,2025-01-10,Night,Line C,Product Beta,1077,24,3,22.23,Surface Defect,Changeover
91,2025-01-11,Morning,Line A,Product Beta,1463,27,7,45.95,Coating Defect,Quality Issue
92,2025-01-11,Afternoon,Line A,Product Gamma,1468,77,14,71.19,Assembly Error,Maintenance
93,2025-01-11,Night,Line A,Product Beta,1332,51,8,46.77,Coating Defect,Mechanical Failure
94,2025-01-11,Morning,Line B,Product Delta,1265,62,9,42.2,Dimensional Error,Maintenance
95,2025-01-11,Afternoon,Line B,Product Delta,1271,33,4,50,Coating Defect,Quality Issue
96,2025-01-11,Night,Line B,Product Beta,1212,28,6,20.49,Assembly Error,Quality Issue
97,2025-01-11,Morning,Line C,Product Delta,1163,42,12,21.39,Surface Defect,Quality Issue
98,2025-01-11,Afternoon,Line C,Product Beta,1061,42,8,61.95,Surface Defect,Mechanical Failure
99,2025-01-11,Night,Line C,Product Delta,957,27,8,47.97,Coating Defect,Mechanical Failure
100,2025-01-12,Morning,Line A,Product Alpha,1546,16,4,60.46,Assembly Error,Quality Issue
101,2025-01-12,Afternoon,Line A,Product Beta,1469,55,10,29.48,Assembly Error,Material Shortage
102,2025-01-12,Night,Line A,Product Alpha,1312,75,8,62.96,Assembly Error,Material Shortage
103,2025-01-12,Morning,Line B,Product Gamma,1306,13,3,9.48,Coating Defect,None
104,2025-01-12,Afternoon,Line B,Product Gamma,1298,40,10,16.09,Surface Defect,Changeover
105,2025-01-12,Night,Line B,Product Alpha,1111,16,4,19.07,Assembly Error,Quality Issue
106,2025-01-12,Morning,Line C,Product Delta,1169,59,13,26.96,Surface Defect,Quality Issue
107,2025-01-12,Afternoon,Line C,Product Delta,1083,15,2,73.39,Dimensional Error,Changeover
108,2025-01-12,Night,Line C,Product Beta,950,60,17,81.55,Assembly Error,Material Shortage
109,2025-01-13,Morning,Line A,Product Gamma,1456,35,6,16.42,Surface Defect,Changeover
110,2025-01-13,Afternoon,Line A,Product Alpha,1468,66,10,51.58,Coating Defect,Quality Issue
111,2025-01-13,Night,Line A,Product Gamma,1397,22,6,12.08,Dimensional Error,None
112,2025-01-13,Morning,Line B,Product Alpha,1377,34,4,81.91,Dimensional Error,Mechanical Failure
113,2025-01-13,Afternoon,Line B,Product Beta,1330,17,1,25.39,Coating Defect,Mechanical Failure
114,2025-01-13,Night,Line B,Product Alpha,1265,31,8,50.84,Dimensional Error,Mechanical Failure
115,2025-01-13,Morning,Line C,Product Beta,1057,63,7,76.2,Coating Defect,Mechanical Failure
116,2025-01-13,Afternoon,Line C,Product Gamma,1167,60,8,13.49,Coating Defect,None
117,2025-01-13,Night,Line C,Product Beta,1118,15,1,64.09,Coating Defect,Material Shortage
118,2025-01-14,Morning,Line A,Product Gamma,1428,43,5,67.71,Surface Defect,Changeover
119,2025-01-14,Afternoon,Line A,Product Alpha,1492,20,4,67.96,Assembly Error,Quality Issue
120,2025-01-14,Night,Line A,Product Beta,1434,79,16,49.23,Dimensional Error,Changeover
121,2025-01-14,Morning,Line B,Product Beta,1305,24,4,24.85,Coating Defect,Quality Issue
122,2025-01-14,Afternoon,Line B,Product Gamma,1258,23,2,71.07,Surface Defect,Changeover
123,2025-01-14,Night,Line B,Product Gamma,1220,33,6,49,Dimensional Error,Quality Issue
124,2025-01-14,Morning,Line C,Product Beta,1079,11,1,38.54,Coating Defect,Changeover
125,2025-01-14,Afternoon,Line C,Product Gamma,1180,67,19,13.3,Assembly Error,None
126,2025-01-14,Night,Line C,Product Delta,1009,30,5,46.73,Assembly Error,Material Shortage
127,2025-01-15,Morning,Line A,Product Gamma,1517,24,2,77.85,Coating Defect,Material Shortage
128,2025-01-15,Afternoon,Line A,Product Beta,1464,48,8,60.91,Surface Defect,Maintenance
129,2025-01-15,Night,Line A,Product Delta,1403,14,4,73.19,Dimensional Error,Material Shortage
130,2025-01-15,Morning,Line B,Product Beta,1308,19,3,49.89,Dimensional Error,Material Shortage
131,2025-01-15,Afternoon,Line B,Product Gamma,1256,42,9,75.71,Dimensional Error,Quality Issue
132,2025-01-15,Night,Line B,Product Gamma,1086,16,4,24.43,Coating Defect,Changeover
133,2025-01-15,Morning,Line C,Product Alpha,1156,28,6,12.78,Dimensional Error,None
134,2025-01-15,Afternoon,Line C,Product Beta,1085,64,5,59.34,Dimensional Error,Quality Issue
135,2025-01-15,Night,Line C,Product Gamma,1051,62,17,9.56,Dimensional Error,None
136,2025-01-16,Morning,Line A,Product Delta,1566,16,2,12.4,Surface Defect,None
